Stationsnamn;Stationsnummer;Latitud;Longitud;Aktiv
Karats;168910;66.6485;18.7990;0
Karesuando;192830;68.4421;22.4502;0
Karesuando A;192840;68.4432;22.4488;0
Karlsborg;84310;58.5452;14.4945;0
Karlshammar;76090;57.1500;16.4500;0
Karlshamn;64130;56.1813;14.8517;0
Karlskoga;94200;59.3291;14.5538;0
Karlskrona;65100;56.1670;15.5870;0
Karlstad;93250;59.3840;13.4455;0
Karlstad Aut;93230;59.3610;13.4728;0
Karlstad Flygplats;93220;59.4446;13.3374;0
Karlstorp D;75320;57.5137;15.5070;0
Karpalund;64040;56.0500;14.1000;0
Karungi;173710;66.0438;23.9765;1
Kasa D;139200;63.3266;19.0532;0
Kastlîsa;66260;56.4323;16.4213;1
Katrineberg;116720;61.0666;16.3000;0
Katrinefors;83430;58.7166;13.8333;0
Katrineholm D;86590;58.9773;16.1896;0
