Stationsnamn;Stationsnummer;Latitud;Longitud;Aktiv
Stora Karlsî;77180;57.2893;17.9623;0
Stora Segerstad;73090;57.1461;13.5609;0
Stora Sjîfallet A;178860;67.4964;18.2943;0
Stora skedvi;105250;60.4100;15.7422;1
Stora SpÜnsberget A;105220;60.3822;15.1404;0
Stora sundby;96630;59.2666;16.1333;0
Stora sundby-Alberga;96620;59.2666;16.1166;0
Stora uttervik;87510;58.8500;17.5500;0
Stora VÑderî;81350;58.5760;11.0682;0
Storberg;158850;65.5085;18.9505;0
Storberget;171940;66.7714;21.7652;0
Storbron;112230;61.3868;12.8585;1
StorbÑcken;112410;61.6833;12.6000;0
Stordalen-Midlanda D;127320;62.5300;17.4129;1
Storfinnforsen;136360;63.5950;16.1846;1
StorfjÑllet-SÑlen;113610;61.1666;13.1166;0
Storfors D;94320;59.5271;14.2760;0
Storjungfrun;117610;61.1666;17.3333;0
Storliden;149570;64.9500;19.4833;0
Storlien;132620;63.3158;12.1009;0
Storlien-Storvallen;132180;63.2825;12.1222;0
Storlien-Storvallen A;132170;63.2831;12.1246;0
Stormyra;98140;59.2032;18.3308;1
Stornorrfors;140510;63.8500;20.0500;0
Storsjî Kapell;123480;62.8016;13.0731;0
Storîhamn;163920;65.7306;23.0924;0
Storîn;144710;64.6333;14.1166;0
Storîn A;163900;65.6982;23.1005;0
Strand;139710;63.8666;19.9000;0
Strandvallen;74650;57.8500;14.2833;0
StrÑngnÑs;97270;59.4020;17.0605;0
StrÑngnÑs-Vansî;96240;59.3961;16.9398;0
StrÑngstorp;96030;59.0500;16.2166;0
Strîmbacka;116580;61.9572;16.7138;0
Strîmsberg;107240;60.4000;17.5833;0
StrîmsnÑsbruk D;63330;56.5583;13.7372;0
Strîmstad;81560;58.9333;11.2000;0
Strîmsund;135520;63.8548;15.5894;0
Strîmsund-Edet D;135550;63.9157;15.3181;1
Sturefors;85190;58.3159;15.7144;0
Sturup;53300;55.5390;13.3665;0
StÑlldalen;94580;59.9391;14.8910;0
StÜngfallet;94660;59.9500;14.8833;0
StÜngsmÜla D;65370;56.6105;15.1380;1
Stîllet D;103260;60.4110;13.2693;1
Stîmne;92260;59.4360;12.7631;0
Suddesjaur;159970;65.8952;19.0929;0
Suddjavaara;192760;68.2048;22.7609;0
Sudok;170790;66.3006;20.4240;0
Sundby;96410;59.6962;16.6606;0
Sunderbyn;161680;65.7000;21.8500;0
Sundmo;136640;63.5000;16.7000;0
Sundsvall;127240;62.4066;17.2664;0
Sundsvalls Flygplats;127310;62.5246;17.4410;0
Sunne;93650;59.8500;13.1666;0
Sunne A;93520;59.8644;13.1193;0
Surahammar;96430;59.7010;16.2202;0
Sutterhîjden;93640;59.5833;13.9333;0
SuttertjÑrn;93340;59.5956;13.9525;0
Svabensverk;115050;61.0442;15.7921;0
Svalîv;53560;55.9315;13.0545;0
Svanberga A;98490;59.8321;18.6348;0
Svaneholm D;92120;59.1744;12.5010;1
Svanstein;173890;66.6538;23.8640;1
Svappavaara;181890;67.6536;21.0525;1
Svartberget D;167790;66.3239;17.3210;1
Svarteborg;81340;58.5707;11.5572;0
Svartingstorp;66460;56.7860;16.3296;0
Svartsjî;97220;59.3628;17.7220;0
SvartÜ;94070;59.1260;14.5278;0
Sveg;124020;62.0191;14.1904;0
Sveg A;124030;62.0471;14.4100;0
Svensbyn D;92200;59.3252;12.3087;0
Svenska Hîgarna;99270;59.4445;19.5059;1
Svenska hîgarna A;99280;59.4428;19.5058;0
Svinhult D;75450;57.7471;15.3914;1
Sydostbrotten;140200;63.3806;20.0993;0
SÑby;81010;58.0201;11.6015;0
SÑbyholm;52660;55.9000;12.8333;0
SÑffle;92100;59.1412;12.9359;1
SÑlen;113100;61.1691;13.2593;0
SÑnningstjÑrn D;126080;62.1376;16.8676;1
SÑrna D;113410;61.6912;13.1866;1
SÑrvsjî D;123370;62.6309;13.1618;0
SÑter D;105210;60.3438;15.7611;0
SÑtra GÜrd;97320;59.5339;17.8446;1
SÑttra;97250;59.4115;17.4754;0
SÑve;71470;57.7786;11.8824;0
SÑve-SkÜlvisered;71500;57.8305;11.9200;0
SÑvenfors;94530;59.8820;14.5408;0
SÑvsjî;74250;57.3813;14.6579;1
SÜgen D;104150;60.2616;14.1370;1
SÜgmyra;105410;60.7004;15.3263;0
SÜgmyra;105430;60.7200;15.2800;0
SÜtenÑs;82260;58.4358;12.7075;0
SÜtenÑs D;82250;58.4397;12.6928;0
Sîderala D;116170;61.2950;16.9548;1
Sîderarm A;99450;59.7538;19.4089;0
Sîderby-KarlsÑng D;108180;60.2930;18.4507;1
SîderbÑrke D;105040;60.0640;15.5713;1
Sîderhamn;117170;61.3198;17.0967;0
Sîderhamn A;117160;61.2691;17.0983;0
Sîderkîping D;86290;58.5018;16.2834;1
Sîdersel D;138450;63.7470;18.1689;1
SîdertÑlje;97120;59.1820;17.6186;0
Sîdra Lîkarîd;54460;55.7743;14.0913;0
Sîdra Vi D;75430;57.7174;15.7092;1
Sîlje D;92290;59.4846;12.6959;1
Sîlvesborg;64060;56.0573;14.5902;0
Sîraby;74030;57.0345;14.9446;1
Sîrbyn;171720;66.0531;21.7851;1
Sîrbytorp;84490;58.8121;14.6526;1
Sîrskog;105490;60.8210;15.3770;0
SîrÜker;127630;62.5166;17.5166;0
Sîsdala;63030;56.0355;13.6939;0
Sîsjî;125460;62.7667;15.4996;0
Talliden;149470;64.7781;19.3679;1
TalljÑrv D;172780;66.2512;22.3090;1
Tandsbyn D;134000;63.0092;14.7184;1
TandÜdalen;113110;61.1766;13.0164;0
TannÜker;63570;56.9577;13.7741;0
Tavelsjî D;150020;64.0406;20.0758;1
TegeltrÑsk;137560;63.9515;17.9040;0
Telningsberg;104100;60.1829;14.6679;0
Tidaholm;83720;58.1833;13.9666;0
Tidaholm D;83110;58.1806;13.9829;1
Tidan;84630;58.5500;14.0000;0
Tinghalla;73660;57.9666;13.8500;0
Tingsryd-Degerhaga;64320;56.5376;14.9019;0
TjultrÑsk;155990;65.9669;15.9550;0
Tjusta;97650;59.6000;17.6333;0
TjÑderÜsen;114710;61.5666;14.5000;0
TjÑllmo D;85440;58.7417;15.3735;0
TjÑlsbyn;137660;63.8500;17.3833;0
TjÑrnÑs;106310;60.5129;16.4172;0
TjÜmotis D;168970;66.9181;18.5363;0
TolsgÜrden;84530;58.8833;14.4500;0
Tomelilla;53320;55.5533;13.9450;1
Tomta;96480;59.8000;16.5500;0
Tomtabacken A;74300;57.4983;14.4672;0
Toraliden;74140;57.2295;14.7471;0
Tornby;85260;58.4166;15.6166;0
TornetrÑsk;189760;68.2201;19.7123;0
TorpaslÑtt;96720;59.4166;16.2000;0
Torpshammar A;126290;62.4943;16.2774;0
Torrbîle D;139420;63.7076;19.5932;1
Torsby;103080;60.1075;12.9908;0
Torslanda;71430;57.7166;11.7833;0
TorsÜs;65250;56.4112;15.9880;1
Torup;63600;56.9632;13.0712;0
Torup A;63590;56.9496;13.0625;0
TossÜsen;124430;62.6967;14.3927;0
Tosteberga;64010;56.0094;14.4429;0
Tosterî skola;97230;59.4000;17.0333;0
Tovehult;76380;57.6420;16.5682;0
Traneberg;83400;58.6607;13.1507;0
Tranhult;73290;57.4882;13.8585;0
Transtrand D;113060;61.0797;13.3294;0
Tranvik;98270;59.4507;18.5717;1
TranÜs;84020;58.0389;14.9853;0
Trelleborg;53230;55.3810;13.1279;0
Treskog;92540;59.8722;12.6195;0
Trollebo;75620;57.3166;15.3000;0
TrollenÑs;53510;55.8666;13.2500;0
TrollhÑttan;82620;58.3000;12.3166;0
TrollhÑttans Flygplats;82190;58.3141;12.3292;0
Trosa;87540;58.9000;17.5666;0
TrÑngslet;113230;61.3804;13.7273;1
TrÜngmon;144380;64.6315;14.8619;0
Trîkîrna;82160;58.2686;12.6554;0
Tullinge A;97100;59.1789;17.9125;0
Tullus D;134190;63.3085;14.3174;1
Tuna;108610;60.0166;18.0500;0
Tvingelshed;65200;56.3254;15.5793;1
TvÑrforsen;126050;62.0852;16.2272;0
Tyllinge;86610;58.0166;16.0833;0
Tyllinge D;86010;58.0207;16.0824;1
Tynderî;127710;62.4500;17.6166;0
Tyngsjî;104710;60.3000;13.8833;0
Tyresî;98150;59.2500;18.2833;0
Tystberga D;87490;58.8236;17.3318;0
TÑnger D;105500;60.8149;15.7610;1
TÑnnÑs A;122260;62.4502;12.6702;0
TÑnnÑs i;132710;62.4333;12.6833;0
TÑrendî D;182740;67.1661;22.6287;1
TÑrnaby;155910;65.7166;15.2500;0
TÑrnamo;155890;65.6699;15.1297;0
TÑrnsjî D;106120;60.1321;16.9483;0
TÑxan;135430;63.7195;15.8315;0
TÜnga;62120;56.2013;12.7782;1
TÜrrajaur;169830;66.4329;19.6885;0
TÜsan;102460;60.7658;12.8493;1
Tîcksfors D;91330;59.5468;11.8397;1
Tîreboda;84650;58.7166;14.1333;0
Tîrneryd;65140;56.2297;15.0249;0
Tîrntorp;84600;58.9849;14.7890;0
Uddabo;72520;57.8701;12.7074;0
Uddevalla D;81210;58.3703;11.9364;1
Uddheden D;92570;59.9437;12.9134;1
Ugerup;54580;55.9657;14.1168;0
Ulfshyttan;105620;60.3000;15.3833;0
Ullared A;72090;57.1136;12.7758;0
UllÜnger;128590;63.0132;18.1880;0
Ulricehamn;73470;57.8052;13.4083;0
Ulrika;85070;58.1282;15.4353;1
Ulriksfors;135500;63.8345;15.6164;0
Ultuna;97490;59.8139;17.6469;0
UlvhÑll;97210;59.3619;17.0440;0
Ulvoberg;147460;64.7627;17.2165;0
Ulvsjî;114360;61.6022;14.1847;0
Ulvsjîn D;126170;62.2713;16.4328;1
UmeÜ;140500;63.8302;20.2901;0
UmeÜ Flygplats;140480;63.7947;20.2918;0
Umfors;155980;65.9473;15.0362;0
Understen;108170;60.2761;18.9227;0
UndersÜker;133200;63.3269;13.3826;0
Ungsberg;75310;57.5103;15.9190;1
UngskÑr;65020;56.0419;15.8081;0
Untorp;114230;61.3833;14.4166;0
Untra;107270;60.4393;17.3409;0
Uplo;82060;58.1001;12.6568;1
UppgrÑnna;84030;58.0671;14.5322;0
Uppsala;97520;59.8585;17.6252;0
Uppsala Aut;97510;59.8586;17.6253;0
Uppsala Flygplats;97530;59.8953;17.5935;0
Urshult-Kunninge;64290;56.4782;14.8024;0
UrÜsa;64400;56.6833;14.9500;0
Utklippan;55570;55.9500;15.7000;0
Uttersberg;95640;59.7500;15.6666;0
UtvalnÑs;107450;60.7547;17.3574;0
Utî;88570;58.9502;18.2669;0
Vad;84710;58.5666;14.0166;0
Vadstena D;84270;58.4500;14.8918;1
Valla;96000;59.0185;16.3709;0
Vallbo;133100;63.1569;13.0726;1
Vallentuna;98310;59.5190;18.0779;0
Vallsjîn;112070;61.1166;12.8666;0
Valsjîn;144040;64.0645;14.1341;1
Vanneberga;63060;56.0813;13.9189;0
Varberg;72080;57.1084;12.2741;1
VarpnÑs;93240;59.4041;13.2906;0
Vassbo;105630;60.5333;15.5333;0
Vattholma D;107010;60.0289;17.7243;1
Vaxborg;157980;65.9451;17.4821;1
Veddige D;72170;57.2618;12.3228;1
Vedjeîn;145040;64.0630;15.3737;0
Vekafors;73710;57.1000;13.7333;0
Vellinge;53290;55.4714;13.0128;0
Ven;52550;55.9120;12.6823;0
Viberg;93630;59.5333;13.8500;0
Vidsel;160960;65.8801;20.1315;1
Vidsel Mo;160970;65.8769;20.1543;0
Vikarbyn D;105560;60.9189;15.0329;0
Viken;125710;62.3833;15.1666;0
ViksbÑcken;137030;63.0500;17.7500;0
Vilhelmina A;146350;64.5809;16.8421;0
Villands VÜnga;64140;56.1803;14.3782;0
Villingsberg;94170;59.2833;14.7000;0
Vimmerby;75400;57.6687;15.8518;0
Vindel-Bjîrkheden;156940;65.8211;16.7114;0
Vindel-Storsjî;157930;65.7666;17.0500;0
Vindeln-SunnansjînÑs;149120;64.1386;19.7618;0
Vinga A;71380;57.6324;11.6077;0
VingÜker D;95030;59.0199;15.9810;1
Vinliden;147710;64.6333;17.8666;0
Vinslîv D;63040;56.0996;13.9244;0
Vintersjîhîjden;94550;59.9166;14.3500;0
VintjÑrn;106500;60.8321;16.0581;0
Virserum-Rîdmossa;75190;57.2931;15.5695;0
Visby D;78390;57.6477;18.3494;1
Visby Flygplats;78400;57.6614;18.3428;0
Visingsî A;84050;58.0951;14.4086;0
Visingsî D;84060;58.0735;14.3599;0
Viskan;126270;62.4556;16.4291;0
VissefjÑrda;65310;56.5124;15.6235;0
Vissvass;98120;59.2000;18.3666;0
Vitemîlla;54420;55.6995;14.2040;0
Vitsand D;103210;60.3252;13.0065;0
Vittangi;181900;67.6943;21.6335;0
Vittinge;97540;59.9007;17.0263;1
Vomb;53410;55.6616;13.5323;0
Vrena;86520;58.8741;16.6841;0
VrÜ D;63430;56.7361;13.4540;1
Vuoddas;171830;66.4083;21.7789;0
VuoggatjÜlme;166870;66.5759;16.3511;0
Vuonatjviken;167850;66.4934;17.2461;0
VÑckelsÜng;64640;56.6500;14.9166;0
VÑddî;98590;59.9833;18.8166;0
VÑderstad;84190;58.3143;14.9274;0
VÑderîbod;81620;58.5500;11.0333;0
VÑgersjîn;136190;63.3159;16.4038;0
VÑllingberget;136580;63.9710;16.8034;0
VÑllnora D;98570;59.9562;18.3461;1
VÑnersborg;82230;58.3552;12.3616;1
VÑnge;78230;57.4348;18.4860;1
VÑnnÑs D;139540;63.9226;19.8144;1
VÑring;83300;58.5190;13.9805;0
VÑrmlandsnÑs-EkenÑs D;83550;58.8973;13.2384;1
VÑrnamo;74110;57.1833;14.0500;0
VÑrne;75340;57.5388;15.1002;0
VÑsby;107180;60.3000;17.4333;0
VÑse D;93210;59.3675;13.8534;1
VÑstanbÑck D;135120;63.1988;15.4774;0
VÑstansjî D;116530;61.8774;16.5350;0
VÑstantrÑsk;150270;64.4502;20.4055;0
VÑstergarn;78260;57.4333;18.1500;0
VÑsterhaninge;98080;59.1111;18.1094;1
VÑsterlo D;126250;62.4133;16.6573;1
VÑsterlîsa;85270;58.4447;15.3772;0
VÑstermo;96170;59.2748;16.0885;1
VÑsterplana;83340;58.5586;13.3508;0
VÑstertÜsjî D;145210;64.3632;15.7037;0
VÑstervik;76470;57.7213;16.4683;0
VÑsterÜs;96350;59.5977;16.6034;0
VÑsterÜs;96370;59.6166;16.5500;0
VÑsterîvsjî D;135020;63.0421;15.9347;1
VÑstmarkum A;138070;63.1251;18.2555;0
VÑstra Banken;107530;60.8800;17.9300;0
VÑstra Lagnî;98720;59.5333;18.7500;0
VÑstra Ny;85630;58.6500;15.0500;0
VÑstra érnÑs;103550;60.9069;13.3756;0
VÑstvalla;95250;59.4170;15.6145;1
VÑxjî A;64510;56.8464;14.8324;0
VÑxjî D;64520;56.8811;14.8289;0
VÜmhus D;114080;61.1364;14.4200;1
VÜnga D;85350;58.5880;15.8142;1
VÜrgÜrda;82610;58.0166;12.7833;0
VÜrgÜrda D;82020;58.0240;12.8560;1
VÜrgÜrda-HÑgrunga;82010;58.0166;12.8333;0
VÜthultstrîm;73190;57.3166;13.4333;0
Westî;78540;57.8934;18.7624;0
Wiad;97070;59.1116;17.7219;1
YlinenjÑrvi A;173900;66.6235;23.4680;0
Ystad;53260;55.4325;13.8067;1
Ytterberg D;124040;62.0673;14.4944;1
Ytterboda;107370;60.6166;17.4500;0
Ytterhogdal;124110;62.1825;14.9508;0
Ytterrissjî D;147020;64.0302;17.7770;1
Ytterselî D;97290;59.4070;17.2769;1
Yxsjî;147170;64.2833;17.5166;0
Zinkgruvan;85490;58.8063;15.1285;1
élgarÜs D;84470;58.7906;14.3188;1
élghult;75010;57.0142;15.5703;1
élmeshult;75030;57.0519;15.1980;0
élmhult;53520;55.8656;13.8741;0
élvdalen A;114140;61.2542;14.0383;0
élvdalen I;114150;61.2500;14.0833;0
élvdalen II;114160;61.2555;14.0375;0
élvkarleby D;107340;60.5653;17.4632;1
élvsby Skogsskola;161690;65.6833;21.0666;0
élvsbyn A;161910;65.6702;21.0662;0
élvsbyn M;160890;65.6935;20.9858;0
élvsbyn M;161890;65.6800;20.9700;0
éngelholm;62710;56.2500;12.8500;0
éngesÜ;172690;66.7500;22.3000;0
èby;64550;56.9152;14.0141;1
èda;87580;58.9279;17.5358;1
èhus;54720;55.9166;14.2833;0
èkeboda;63020;56.0308;13.9281;0
èkers Styckebruk;97150;59.2511;17.0879;0
èkershus;83540;58.8980;13.2517;0
èkroken D;127570;62.9380;17.2411;1
èlberga;86450;58.7462;16.5557;0
èlloluokta;179740;67.1261;19.4976;0
èlÜsen;134520;63.8683;14.6063;0
èminne D;73060;57.1232;13.9547;1
èmot A;106570;60.9620;16.4311;0
èmotfors Pappersbruk;92460;59.7666;12.3500;0
èmotsbruk;106580;60.9645;16.4631;0
èmÜl;92030;59.0542;12.6969;0
ènge-Parteboda D;125310;62.5257;15.7694;1
ènimskog;82530;58.8746;12.5913;1
èninge;76520;57.8666;16.0500;0
ère;133230;63.4000;13.1000;0
èrjÑng;92230;59.3833;12.1666;0
èrsnÑs;71560;57.9333;11.7833;0
èsaborg;83250;58.4166;13.7666;0
èsarna D;124400;62.6600;14.3556;1
èseda;75100;57.1462;15.3987;0
èsele;147100;64.1590;17.3494;1
èsele A;147090;64.1661;17.3188;0
èsnorrbodarna;127090;62.1492;17.1724;1
èstrilt;62540;56.8956;12.9600;0
èstrÑsk D;149370;64.6139;19.9778;0
ètorp;94050;59.0966;14.3678;1
ètvidaberg;85130;58.2022;16.0060;0
ôdebyn;82650;58.7833;12.1833;0
ôdeshîg D;84140;58.2546;14.6584;1
ôjared;72510;57.8453;12.3838;0
ôje D;103490;60.8087;13.8604;0
ôjebro;85220;58.3833;15.2000;0
ôjebyn;161800;65.3566;21.3890;0
ôkna Lantbruksskola;87550;58.8901;17.1569;0
ôlands Norra Udde;77220;57.3689;17.1008;1
ôlands Norra Udde A;77210;57.3672;17.0986;0
ôlands sîdra grund;66600;56.0699;16.6799;0
ôlands Sîdra Udde;66120;56.1957;16.4010;0
ôlands Sîdra Udde A;66110;56.1977;16.4036;0
ôlvingstorp;66630;56.6166;16.1166;0
ôn;95240;59.4033;15.1946;1
ôraÜtjÑrnarna D;126430;62.7165;16.1775;1
ôrby;72290;57.4833;12.7000;0
ôrebro;95620;59.2448;15.2854;0
ôrebro A;95130;59.2289;15.0455;0
ôrebro D;95160;59.2584;15.2586;1
ôregrund;108640;60.3333;18.4333;0
ôrja;52510;55.8798;12.8705;0
ôrkelljunga;63170;56.2829;13.3002;1
ôrnskîldsvik;138180;63.2963;18.7217;0
ôrnskîldsviks Flygplats;138240;63.4116;18.9973;0
ôrskÑr A;108320;60.5262;18.3766;0
ôrtofta;53470;55.7833;13.2500;0
ôrtrÑsk;149080;64.1337;18.9892;0
ôstanvik D;115100;61.1684;15.2223;1
ôstanÜ;98330;59.5544;18.5766;0
ôsterby;97410;59.6563;17.6469;0
ôsterfÑrnebo;106180;60.3048;16.8050;1
ôstergarn;78630;57.4500;18.9833;0
ôstergarnsholm A;78280;57.4413;18.9871;0
ôsternÑs;99710;59.7166;19.0000;0
ôstersund;134100;63.1736;14.6786;0
ôsterÜker;98300;59.4897;18.2937;0
ôsthammar;108150;60.2600;18.3696;0
ôstmark-LÑmbacken;102190;60.3060;12.6977;0
ôstmark-RÑnnberg;102200;60.3328;12.6775;0
ôstmark-RîjdÜsen;102210;60.3548;12.6491;0
ôstmark-èsarna;102170;60.2788;12.8538;0
ôstra Husby D;86320;58.5373;16.5655;1
ôstra émtervik;93440;59.7406;13.2136;1
ôverkalix-Svartbyn;172790;66.2646;22.8365;0
ôverkalix-Svartbyn A;172770;66.2630;22.8472;0
ôvertorneÜ;173810;66.3862;23.6220;0
ôverum;76590;57.9912;16.3059;0
ôverÑng;133470;63.7788;13.0734;0
ôvre Soppero;191730;68.0916;21.7003;1
ôvre SvartlÜ D;171700;66.0213;21.1727;0
